id,date,admin0,admin1,cases
PEAMA,2020-01-25,Peru,Amazonas,0
PEANC,2020-01-25,Peru,Ancash,0
PEAPU,2020-01-25,Peru,Apurimac,0
PEARE,2020-01-25,Peru,Arequipa,0
PEAYA,2020-01-25,Peru,Ayacucho,0
PECAJ,2020-01-25,Peru,Cajamarca,0
PECAL,2020-01-25,Peru,Callao,0
PECUS,2020-01-25,Peru,Cusco,0
PEHUC,2020-01-25,Peru,Huanuco,0
PEHUV,2020-01-25,Peru,Huancavelica,0
PEICA,2020-01-25,Peru,Ica,0
PEJUN,2020-01-25,Peru,Junin,0
PELAL,2020-01-25,Peru,La Libertad,0
PELAM,2020-01-25,Peru,Lambayeque,0
PELIM,2020-01-25,Peru,Lima,0
PELOR,2020-01-25,Peru,Loreto,0
PEMDD,2020-01-25,Peru,Madre De Dios,0
PEMOQ,2020-01-25,Peru,Moquegua,0
PEPAS,2020-01-25,Peru,Pasco,0
PEPIU,2020-01-25,Peru,Piura,0
PEPUN,2020-01-25,Peru,Puno,0
PESAM,2020-01-25,Peru,San Martin,0
PETAC,2020-01-25,Peru,Tacna,0
PETUM,2020-01-25,Peru,Tumbes,0
PEUCA,2020-01-25,Peru,Ucayali,0
