id,date,admin0,admin1,cases
PEAMA,2020-02-08,Peru,Amazonas,0
PEANC,2020-02-08,Peru,Ancash,0
PEAPU,2020-02-08,Peru,Apurimac,0
PEARE,2020-02-08,Peru,Arequipa,0
PEAYA,2020-02-08,Peru,Ayacucho,0
PECAJ,2020-02-08,Peru,Cajamarca,0
PECAL,2020-02-08,Peru,Callao,0
PECUS,2020-02-08,Peru,Cusco,0
PEHUC,2020-02-08,Peru,Huanuco,0
PEHUV,2020-02-08,Peru,Huancavelica,0
PEICA,2020-02-08,Peru,Ica,0
PEJUN,2020-02-08,Peru,Junin,0
PELAL,2020-02-08,Peru,La Libertad,0
PELAM,2020-02-08,Peru,Lambayeque,0
PELIM,2020-02-08,Peru,Lima,0
PELOR,2020-02-08,Peru,Loreto,0
PEMDD,2020-02-08,Peru,Madre De Dios,0
PEMOQ,2020-02-08,Peru,Moquegua,0
PEPAS,2020-02-08,Peru,Pasco,0
PEPIU,2020-02-08,Peru,Piura,0
PEPUN,2020-02-08,Peru,Puno,0
PESAM,2020-02-08,Peru,San Martin,0
PETAC,2020-02-08,Peru,Tacna,0
PETUM,2020-02-08,Peru,Tumbes,0
PEUCA,2020-02-08,Peru,Ucayali,0
